id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
zfg,zollfahndung,Gremium Zollfahndungsgesetz,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
lhp,dienstleistungsgesellschaft,LHP Dienstleistungs- und Bildungssellschaft GmbH,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
bmvco,bundesmusikverband,Bundesmusikverband Chor und Orchester e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
gvfd,gegenvergessen,Gegen Vergessen Für Demokratie e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
eevfee,eurosolare,EUROSOLARE Europäische Vereinigung für Erneuerbare Energien e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
grs,reaktorsicherheit,Geselllschaft für Anlagen- und Reaktorsicherheit mbH,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
avbs,ausschussverkehr,"Ausschuss für Verkehr, Bau und Stadtentwicklung",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
awf,arbeiterwohlfahrt,Arbeiterwohlfahrt,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dbu,umweltstiftung,Deutsche Bundesstiftung Umwelt ,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
wspd,wirtschaftsforum,Wirtschaftsforum der SPD e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
asf,arbeitsgemeinschaftfrau,Arbeitsgemeinschaft sozialdemokratischer Frauen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
awut,ausschusswirtschaft,Ausschuss für Wirtschaft und Technologie,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dtf,deutschtürkischesforum,Kuratorium des Deutsch-Türkischen Forum Stuttgart e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ajc,americanjewishcommittee,American Jewish Committee,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
fhr,reutlingen,Evangelische Fachhochschule für Sozialwesen Reutlingen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
vea,verkehrsausschuss,Ausschuss für Verkehr und digitale Infrastruktur,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
bvmw,bundesverbandwirtschaft,Bundesverband Mittelständische Wirtschaft,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
tn,tapestry,Tapestry Networks,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
